course_name,fin_aid_status,no_enrolled,no_reviews,skills,star_rating
Programming in Python,Financial aid available,53167,904,cloud hosting|application programming interfaces (api)|python programming|computer programming|django (web framework),4.6
Version Control,Financial aid available,86116,2090,linux|web development|bash (unix shell)|github|version control,4.7
Introduction to Back-End Development,Financial aid available,89262,2217,,4.7
"Teach English Now! Second Language Listening, Speaking, and Pronunciation",Financial aid available,70645,1795,teaching|english language|lesson plan|speech,4.9
Teach English Now! Lesson Design and Assessment,Financial aid available,67166,4363,,4.9
Teach English Now! Foundational Principles,Financial aid available,200851,13543,,4.9
"Project Management Communication, Stakeholders & Leadership ",Financial aid available,1719,13,project management|communication|leadership|stakeholder management,4.9
Teach English Now! Theories of Second Language Acquisition,Financial aid available,82884,6568,,4.9
"Teach English Now! Second Language Reading, Writing, and Grammar ",Financial aid available,92305,2245,,4.9
Teach English Now! Capstone Project 1,Financial aid available,30083,2098,,4.9
"Project Lifecycle, Information Sharing, and Risk Management",Financial aid available,1706,12,project management|risk management|systems development life cycle|information sharing,4.3
Automate Cybersecurity Tasks with Python,Financial aid available,32189,366,computer programming|python programming|coding|pep 8 style guide,4.8
"Project Management Foundations, Initiation, and Planning",Financial aid available,3007,27,project management|project planning|project initiation,4.6
Introduction to Project Management ,Financial aid available,11220,163,project planning|career development|scrum master|agile pm|project management,4.8
"Assets, Threats, and Vulnerabilities",Financial aid available,38532,471,vulnerability assessment|threat analysis|authentication|cryptography|asset classification,4.8
Sound the Alarm: Detection and Response,Financial aid available,32718,354,security information and event management (siem) tools|packet analyzer|intrusion detection systems (ids),4.8
Connect and Protect: Networks and Network Security,Financial aid available,64031,977,cloud networks|network security|security hardening|network architecture|transmission control protocol / internet protocol (tcp/ip),4.8
Foundations of Cybersecurity,Financial aid available,244508,7080,information security (infosec)|cybersecurity|historical attacks|ethics in cybersecurity|nist cybersecurity framework (csf),4.9
Play It Safe: Manage Security Risks,Financial aid available,93694,1952,information security (infosec)|security audits|incident response playbooks|nist risk management framework (rmf)|nist cybersecurity framework (csf),4.8
React Native,Financial aid available,13268,136,react (javascript library)|react|application development|mobile development,4.8
iOS App Capstone,Financial aid available,1733,15,ios app development|software architecture|ui development|data management,4.5
Tools of the Trade: Linux and SQL,Financial aid available,49320,779,linux|command line interface (cli)|bash|sql,4.8
Coding Interview Preparation,Financial aid available,38291,226,pseudocode|algorithms|communication|data structure|computer science,4.7
Working with Data in iOS,Financial aid available,2401,20,json|apis|core data|swift programming,4.3
Advanced Programming in Swift,Financial aid available,3762,45,ios app development|application development|swift programming,4.8
Mobile Development and JavaScript,Financial aid available,5955,47,•	create simple javascript code|•	create and manipulate objects and arrays|•	write unit testing using jest,4.6
Create the User Interface with SwiftUI,Financial aid available,4276,63,ios app development|use navigation in your apps|application development|swift programming,4.7
Principles of UX/UI Design,Financial aid available,49742,401,web design|front-end web development|user experience (ux)|accessibility,4.7
Version Control,Financial aid available,86116,2090,linux|web development|bash (unix shell)|github|version control,4.7
React Native,Financial aid available,13268,136,react (javascript library)|react|application development|mobile development,4.8
Programming Fundamentals in Swift,Financial aid available,6822,146,ios app development|application development|swift programming|web development,4.7
React Basics,Financial aid available,72642,1086,web application|front-end web development|react (web framework)|application development,4.7
React Basics,Financial aid available,72642,1086,web application|front-end web development|react (web framework)|application development,4.7
Working with Data in Android,Financial aid available,3881,24,working with sqlite|rest api's|data and databases,4.8
Android App Capstone ,Financial aid available,2749,17,android studio|kotlin|ux and ui,4.7
Create the User Interface in Android Studio,Financial aid available,6249,60,use ui component libraries to build android ui|create a simple android ui|compose ui using kotlin ui views|build a simple ui using the layout editor,4.8
Principles of UX/UI Design,Financial aid available,49742,401,web design|front-end web development|user experience (ux)|accessibility,4.7
Mobile Development and JavaScript,Financial aid available,5955,47,•	create simple javascript code|•	create and manipulate objects and arrays|•	write unit testing using jest,4.6
Programming Fundamentals in Kotlin,Financial aid available,9944,162,create arrays|kotlin playground|create control flow patterns using conditionals and loops|practice using and extending protocols.|declare and initialize different types of variables,4.7
Becoming an SAP Professional,Financial aid available,4617,30,linkedin sap community|learning.sap.com|sap career trends|routes into sap|sap partner roles,4.8
Introduction to Android Mobile Application Development ,Financial aid available,36287,789,android studio|application development|mobile development,4.6
SAP Technology Consultant Hands-on Project,Financial aid available,3143,15,customer analysis|business strategy and technology integration|business transformation|explore design build|sap implementation lifecycle,4.7
Advanced Programming in Kotlin,Financial aid available,5397,39,,4.7
Version Control,Financial aid available,86116,2090,linux|web development|bash (unix shell)|github|version control,4.7
SAP Customer Engagement and Discovery,Financial aid available,4180,20,managing workshops|business strategic assessment|customer readiness|customer engagement and exploration|solution proposal and communication,4.8
Implementing an SAP Solution,Financial aid available,3408,27,deployment|qa and testing|systems building|best practice|go-live,4.9
Front-End Development Capstone Project,Financial aid available,0,0,web development|react (web framework)|front-end design|front-end development|software development,0.0
Designing an SAP Solution,Financial aid available,3947,28,solution design|project planning and management|communication|requirements elicitation|gap analysis,5.0
Designing User Interfaces and Experiences (UI/UX),Financial aid available,0,0,website wireframe|progressive web development|figma|user experience (ux)|user interface design (ui design),0.0
SAP Professional Fundamentals,Financial aid available,31305,259,client research and analysis|business transformation|planning and project management|communication and engagement|systems and design thinking,4.8
Intermediate Web and Front-End Development,Financial aid available,0,0,debugging|webpack|wordpress|javascript library|search engine optimization (seo),0.0
Understanding the Enterprise Systems Environment,Financial aid available,7485,64,digital transformation|intelligent enterprise|sap platform|business analysis|business process design,4.8
Developing Front-End Apps with React,Financial aid available,23515,213,web development|user interface|react (web framework)|front-end development|javascript,4.3
IBM Cybersecurity Analyst Assessment ,Financial aid available,25015,948,computer security incident management|professional certificate|cybersecurity analyst,4.8
Developing Cloud Native Applications,Financial aid available,17889,249,devops|nosql|git (software)|cloud infrastructure|json,4.1
Getting Started with Git and GitHub,Financial aid available,43953,557,distributed version control (drcs)|open source|version control systems|github|git (software),4.7
Cybersecurity Capstone:  Breach Response Case Studies,Financial aid available,37235,1265,security analyst|cybersecurity|cyber attack|computer security incident management|breach (security exploit),4.8
Network Security & Database Vulnerabilities ,Financial aid available,79832,2913,database vulnerabilities|network security|sql injection|cybersecurity|networking basics,4.7
Cyber Threat Intelligence,Financial aid available,47281,1451,application security|threat intelligence|network defensive tactics|security analyst|cybersecurity,4.7
"Introduction to Web Development with HTML, CSS, JavaScript",Financial aid available,95937,1409,web development|cascading style sheets (css)|html|git (software)|javascript,4.6
"Penetration Testing, Incident Response and Forensics",Financial aid available,65539,2058,scripting|forensics|penetration test|cybersecurity|computer security incident management,4.6
"Cybersecurity Roles, Processes & Operating System Security",Financial aid available,112747,5062,,4.6
Introduction to Cybersecurity Tools & Cyber Attacks,Financial aid available,369268,14312,information security (infosec)|ibm new collar|malware|cybersecurity|cyber attacks,4.6
Introduction to Software Engineering,Financial aid available,32210,376,software architecture|python programming|software development lifecycle (sdlc)|software engineering|agile and scrum,4.7
Introduction to IT Security,Financial aid available,0,0,information security (infosec)|network security|risk management|computer security incident management|mobile security,0.0
Python Scripting Fundamentals,Financial aid available,0,0,using databases and interacting with web sites|create user-defined functions|structuring code for reuse|developing a simple application|exploring programming concepts,0.0
"Introduction to Software, Programming, and Databases ",Financial aid available,10663,177,software development process|database basics|it fundamentals|software application development|computer programming,4.8
Managing Relational Databases,Financial aid available,0,0,relational database concepts|organizing data|working with sql queries and functions|manipulating table data|using subqueries,0.0
Introduction to Hardware and Operating Systems,Financial aid available,30910,717,operating systems|it fundamentals|technical support|troubleshooting|hardware,4.8
Full Stack Software Developer Assessment,Financial aid available,11378,79,,4.7
Cybersecurity Compliance Framework & System Administration,Financial aid available,81075,3002,,4.7
Application Development using Microservices and Serverless ,Financial aid available,25424,142,serverless|microservices|representational state transfer (rest)|openshift|cloud applications,4.6
Introduction to Technical Support ,Financial aid available,22322,502,customer service|ticketing systems|technical support|service level agreements (sla)|information technology (it) support,4.8
"Introduction to Containers w/ Docker, Kubernetes & OpenShift",Financial aid available,64089,569,kubernetes|docker|cloud native|containers|openshift,4.4
